request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Election_Status:token,Election_Status:id,Election_Status,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
s=AL&y=2014&f-core=1&c-t-id=165402,c-t-id,165402,"BENTLEY, ROBERT J",c-t-eid,6568236,"BENTLEY, ROBERT J",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9185,GOVERNOR,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,3394,7027632.98
s=AL&y=2014&f-core=1&c-t-id=165320,c-t-id,165320,"STRANGE III, LUTHER J",c-t-eid,6668575,"STRANGE III, LUTHER J",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9182,ATTORNEY GENERAL,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,1828,3215259.88
s=AL&y=2014&f-core=1&c-t-id=165510,c-t-id,165510,"DEMARCO, PAUL",c-t-eid,12997399,"DEMARCO, PAUL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14981,US HOUSE DISTRICT AL 006,c-t-ftsts,Lost-Primary Runoff,Lost-Primary Runoff,c-t-ico,O,Open,1981,2142339.02
s=AL&y=2014&f-core=1&c-t-id=165512,c-t-id,165512,"PALMER, GARY",c-t-eid,22027757,"PALMER, GARY",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14981,US HOUSE DISTRICT AL 006,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,1260,1912638
s=AL&y=2014&f-core=1&c-t-id=164770,c-t-id,164770,"HUBBARD, MIKE",c-t-eid,12997475,"HUBBARD, MIKE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,192,HOUSE DISTRICT 079,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,655,1599876.63
s=AL&y=2014&f-core=1&c-t-id=165527,c-t-id,165527,"SEWELL, TERRI A",c-t-eid,17657351,"SEWELL, TERRI A",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14982,US HOUSE DISTRICT AL 007,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,1189,1514146.76
s=AL&y=2014&f-core=1&c-t-id=165426,c-t-id,165426,"SESSIONS, JEFF",c-t-eid,22025634,"SESSIONS, JEFF",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15411,US SENATE DISTRICT AL SW-CLASS II,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,935,1502139
s=AL&y=2014&f-core=1&c-t-id=164579,c-t-id,164579,"MARSH, DEL",c-t-eid,13011026,"MARSH, DEL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,230,SENATE DISTRICT 012,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,520,1431644.62
s=AL&y=2014&f-core=1&c-t-id=165501,c-t-id,165501,"ADERHOLT, ROBERT",c-t-eid,14087235,"ADERHOLT, ROBERT",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14979,US HOUSE DISTRICT AL 004,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,800,1154453.1
s=AL&y=2014&f-core=1&c-t-id=165499,c-t-id,165499,"ROBY, MARTHA",c-t-eid,17657350,"ROBY, MARTHA",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14977,US HOUSE DISTRICT AL 002,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,932,1147080.32
