"name","_id","type","status","party","office","district","place","phone","email","url","photoURL","facebookID","twitterID"
"State Employees Association Political Action Committee","25409","PAC","","","","","","","","","","",""
"Allen, Gerald","25012","Candidate","Active","Republican","State Senator","Senate District 21","","(334) 242-7889","gerald.allen@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd021.html","http://www.legislature.state.al.us/graphics/senatepics/allen_g.jpeg","","SenGeraldAllen"
"Vance, Lesley","25087","Candidate","Active","Republican","State Representative","House District 80","","(334) 242-7687","lesley.vance@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd080.html","http://www.legislature.state.al.us/graphics/housepics/vance_l.jpeg","",""
"Merrill, John","24996","Candidate","Active","Republican","Secretary Of State","","","","","","","",""
"Dunn, Priscilla","25183","Candidate","Active","Democrat","State Senator","Senate District 19","","(334) 242-7793","priscilla.dunn@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd019.html","http://www.legislature.state.al.us/graphics/senatepics/dunn_p.jpeg","",""
"Dial, Gerald","25075","Candidate","Active","Republican","State Senator","Senate District 13","","(334) 242-7874","gerald_dial@yahoo.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd013.html","http://www.legislature.state.al.us/graphics/senatepics/dial_g.jpeg","",""
"Greer, Bayless","25266","Candidate","Active","Republican","State Representative","House District 2","","","","","","",""
"Williams, Phillip","25125","Candidate","Active","Republican","State Senator","Senate District 10","","(334) 242-7857","philw.williams@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd010.html","http://www.legislature.state.al.us/graphics/senatepics/williams_p.jpg","","SenPhilWilliams"
"Whatley, Tom","24964","Candidate","Active","Republican","State Senator","Senate District 27","","(334) 242-7865","tom.whatley@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd027.html","http://www.legislature.state.al.us/graphics/senatepics/whatley_t.jpg","259414953192","SenTomWhatley"
"Hubbard, Joseph","25231","Candidate","Dissolved","Democrat","State Representative","House District 74","","(334) 242-7707","joe@hubbardcoleman.com","http://www.legislature.state.al.us/house/representatives/housebios/hd073.html","","",""
"Patterson, James","25204","Candidate","Active","Republican","State Representative","House District 21","","(334) 242-7531","jimpattersonhd21@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd021.html","http://www.legislature.state.al.us/graphics/housepics/patterson_j.jpg","",""
"Hubbard, Michael","25032","Candidate","Active","Republican","State Representative","House District 79","","(334) 242-7668","mike.hubbard@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd079.html","http://www.legislature.state.al.us/graphics/housepics/hubbard_m.jpeg","",""
"Williams, Dan","25276","Candidate","Active","Republican","State Representative","House District 5","","(334) 242-7741","white2431e@charter.net","http://www.legislature.state.al.us/house/representatives/housebios/hd005.html","http://www.legislature.state.al.us/graphics/housepics/williams_d.jpg","",""
"Barkley, Justin","25400","Candidate","Active","Republican","State Representative","House District 46","","","","","","",""
"Sprayberry, Tim","25168","Candidate","Active","Republican","State Senator","Senate District 13","","","","","","",""
"Faulkner, David","25595","Candidate","Active","Republican","State Representative","House District 46","","","","","","",""
"Garner, Paul","25341","Candidate","Active","Republican","State Senator","Senate District 30","","","","","","",""
"Rich, Kerry","25345","Candidate","Active","Republican","State Representative","House District 26","","(334) 242-7538","kerryrich@mclo.org","http://www.legislature.state.al.us/house/representatives/housebios/hd026.html","http://www.legislature.state.al.us/graphics/housepics/rich_k.jpg","",""
"Williams, Phil","24940","Candidate","Active","Republican","State Representative","House District 6","","(334) 242-7704","philhouse44@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd006.html","http://www.legislature.state.al.us/graphics/housepics/williams_p.jpeg","","philhouse44"
"Coleman, Merika","25122","Candidate","Active","Democrat","State Representative","House District 57","","(334) 242-7755","merika.coleman@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd057.html","http://www.legislature.state.al.us/graphics/housepics/coleman_m.jpeg","merika.coleman",""
"Garrett, John","25030","Candidate","Active","Republican","State Representative","House District 44","","","","","","",""
"Knight, John","25141","Candidate","Active","Democrat","State Representative","House District 77","","(334) 242-7512","john.knight@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd077.html","http://www.legislature.state.al.us/graphics/housepics/knight_j.jpeg","john.knight.9406417",""
"Alabama Optometric Political Action Committee","25001","PAC","","","","","","","","","","",""
"Alabama Restaurant Association PAC","24922","PAC","","","","","","","","","","",""
"Pettaway, Collins","25314","Candidate","Active","Democrat","Circuit Court Judge","4Th Judicial Circuit","1","","","","","",""
"Gentry, Kevin","25430","Candidate","Active","Republican","Sheriff","Cullman County","","","","","","",""
"Boyd, Barbara","25155","Candidate","Active","Democrat","State Representative","House District 32","","(334) 242-7692","babs_131@att.net","http://www.legislature.state.al.us/house/representatives/housebios/hd032.html","http://www.legislature.state.al.us/graphics/housepics/boyd_b.jpeg","repbarbara.boyd",""
"Oden, Jeremy","25002","Candidate","Active","Republican","Public Service Commissioner","Place 1","","","","","","",""
"Sessions, David","25210","Candidate","Active","Republican","State Representative","House District 105","","(334) 242-7741","white2431e@charter.net","http://www.legislature.state.al.us/house/representatives/housebios/hd005.html","http://www.legislature.state.al.us/graphics/housepics/sessions_d.jpg","",""
