"CandidateName","Party","Office","District","Place","CommitteeStatus","CommitteeID"
"Abernathy, Ron","Republican","Sheriff","Tuscaloosa County","","Active","25440"
"Action Jackson, Thomas","Democrat","State Representative","House District 68","","Active","25079"
"Adams, John","Democrat","County Commissioner","Bullock County","","Active","25577"
"Adetunji, Tijuanna","Republican","State Representative","House District 78","","Active","25059"
"Ainsworth, William","Republican","State Representative","House District 27","","Active","25435"
"Albritton, Gregory","Republican","State Senator","Senate District 22","","Active","25562"
"Alexander, Louise","Democrat","State Representative","House District 56","","Active","25805"
"Allen, Gerald","Republican","State Senator","Senate District 21","","Active","25012"
"Allred, Henry","Republican","District Court Judge","Walker County","1","Active","25302"
"Amari, John","Democrat","District Court Judge","Jefferson County","1","Active","25718"
"Amari, John","Republican","State Representative","House District 44","","Active","25293"
"Anderson, Scott","Republican","District Attorney","8Th Judicial Circuit","","Active","25468"
"Andrews, Phillip","Republican","Sheriff","Colbert County","","Active","25196"
"Austin, Alison","Republican","Circuit Court Judge","23Rd Judicial Circuit","","Active","24937"
"Bahakel, John","Republican","State Representative","House District 43","","Active","25756"
"Bahakel, S.","Republican","State Representative","House District 52","","Active","25621"
"Bailey, Kenneth","Independent","Sheriff","Shelby County","","Active","25399"
"Bailey, Robert","Democrat","Circuit Court Judge","15Th Judicial Circuit","","Active","25055"
"Baker, Alan","Republican","State Representative","House District 66","","Active","25287"
"Balkcum, Alex","Republican","State Representative","House District 80","","Active","25611"
"Ball, Mike","Republican","State Representative","House District 10","","Active","24942"
"Ballard, Patrick","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","Active","25547"
"Bandy, George","Democrat","State Representative","House District 83","","Active","25450"
"Barbee, Jonathan","Republican","Public Service Commissioner","Place 2","","Active","25319"
"Barkley, Justin","Republican","State Representative","House District 46","","Active","25400"
"Barnes, William","Democrat","State Representative","House District 59","","Active","25636"
"Barnwell, Donald","Democrat","State Representative","House District 17","","Active","25602"
"Barry, George","Republican","State Senator","Senate District 2","","Active","25773"
"Barton, Jim","Republican","State Representative","House District 104","","Active","25510"
"Barton, Jim","Republican","State Senator","Senate District 35","","Active","25509"
"Basenberg, Joe","Republican","District Court Judge","Mobile County","3","Active","25335"
"Bass, Robert","Democrat","Governor","","","Active","25556"
"Batiste, Dorothea","Republican","Circuit Court Judge","10Th Judicial Circuit","23","Active","25568"
"Baughn, Richard","Republican","State Representative","House District 14","","Active","25310"
"Beasley, William","Democrat","State Senator","Senate District 28","","Active","25301"
"Beason, Scott","Republican","State Senator","Senate District 17","","Active","25298"
"Beavers, Brent","Constitution","County Commissioner","Lauderdale County","1","Active","25794"
"Beckman, Paul","Republican","State Representative","House District 88","","Active","25154"
"Beddingfield, David","Democrat","State Representative","House District 24","","Active","25666"
"Bedford, Roger","Democrat","State Senator","Senate District 6","","Active","24995"
"Beech, Elaine","Democrat","State Representative","House District 65","","Active","24915"
"Beeker, Chris","Republican","Public Service Commissioner","Place 2","","Active","25060"
"Bell, Cynthia","Democrat","State Senator","Senate District 16","","Active","25742"
"Bell, Jimmy","Democrat","Revenue Commissioner","Conecuh County","","Active","25493"
"Benison, Jimmie","Democrat","Sheriff","Greene County","","Active","25594"
"Benison, Jimmie","Democrat","Sheriff","Greene County","","Active","25607"
"Bennett, Bryan","Democrat","State Senator","Senate District 7","","Active","25811"
"Benson, Stephen","Republican","State Representative","House District 79","","Active","25592"
"Bentley, John","Republican","Circuit Court Judge","25Th Judicial Circuit","1","Active","25129"
"Bentley, Robert","Republican","Governor","","","Active","24965"
"Berryman, James","Democrat","Sheriff","Colbert County","","Active","25517"
"Bertarelli, Frank","Republican","State Representative","House District 31","","Active","25355"
"Betterton, Andrew","Democrat","State Representative","House District 2","","Active","25699"
"Biggers, Deborah","Democrat","District Court Judge","Macon County","1","Active","25694"
"Biggs, Wayne","Republican","State Representative","House District 98","","Active","25654"
"Black, Jason","Republican","County Commissioner","Limestone County","3","Active","25748"
"Black, Marcel","Democrat","State Representative","House District 3","","Active","25342"
"Blackmore-Jenkins, Pamela","Republican","State Representative","House District 46","","Active","25474"
