"CandidateName","Party","Office","District","Place","CommitteeStatus","CommitteeID"
"Barber Humphrey, Martha","Republican","County Commissioner","Morgan County","","Dissolved","25521"
"Beasley, William","Democrat","State Senator","Senate District 28","","Dissolved","25623"
"Berryhill, Jonathan","Republican","State Senator","Senate District 1","","Dissolved","25605"
"Blackwell, John","Republican","State Senator","Senate District 8","","Dissolved","25254"
"Boohaker, Joseph","Democrat","Circuit Court Judge","10Th Judicial Circuit","1         ","Dissolved","25177"
"Brown, Ellene","Democrat","Revenue Commissioner","Washington County","","Dissolved","25743"
"Bryan, Ray","Republican","State Auditor","","","Dissolved","25286"
"Byrd, Christopher","Republican","Sheriff","Covington County","","Dissolved","25530"
"Byrne, Bradley","Republican","Governor","","","Dissolved","25484"
"Ciamarra, Cheryl","Republican","State Representative","House District 43","","Dissolved","25361"
"Colquett, Travis","Republican","County Commissioner","Crenshaw County","","Dissolved","25540"
"Colston, David","Democrat","State Representative","House District 69","","Dissolved","25109"
"Copeland, David","Republican","County Superintendent Of Education","Madison County","","Dissolved","25738"
"Cottle, Joe","Democrat","State Treasurer","","","Dissolved","25638"
"Donaldson, William","Republican","Circuit Court Judge","6Th Judicial Circuit","5         ","Dissolved","25211"
"Donaldson, William","Republican","Supreme Court Associate Justice","Place 1","","Dissolved","25226"
"Drake, Dickie","Republican","State Representative","House District 45","","Dissolved","25174"
"Dutton, Barry","Republican","County Board Of Education","Morgan County","","Dissolved","25596"
"Etienne, Hilda","Republican","License Commissioner","Morgan County","","Dissolved","25652"
"Farmer, Thomas","Republican","County Commissioner","Dale County","","Dissolved","25583"
"Freeman, Jared","Republican","State Senator","Senate District 30","","Dissolved","25404"
"George, Stacy","Republican","Governor","","","Dissolved","25251"
"George, Stacy","Republican","Governor","","","Dissolved","25252"
"Haseeb, Henry","Democrat","State Representative","House District 99","","Dissolved","25662"
"Hembree, Walter","Republican","State Representative","House District 101","","Dissolved","25648"
"Hodges, Billy","Republican","State Representative","House District 24","","Dissolved","25139"
"Hodges, Billy","Republican","State Representative","House District 24","","Dissolved","25658"
"Howie, Mitchell","Democrat","State Senator","Senate District 7","","Dissolved","25619"
"Hubbard, Joseph","Democrat","State Representative","House District 74","","Dissolved","25231"
"Humburg, Denise","Republican","Revenue Commissioner","Dale County","","Dissolved","25716"
"Jackson, Bobby","Republican","State Representative","House District 5","","Dissolved","25555"
"Jackson, Jeremy","Republican","Sheriff","Escambia County","","Dissolved","25726"
"Jackson, Roy","Republican","State Representative","House District 12","","Dissolved","25027"
"Keith, Lesa","Republican","County Board Of Education","Montgomery County","Seat 1    ","Dissolved","25688"
"Kelley, Gwendolyn","Republican","Revenue Commissioner","Covington County","","Dissolved","25717"
"Laqua, Chad","Republican","County Superintendent Of Education","Madison County","","Dissolved","25739"
"Lee, Arthur","Democrat","State Representative","House District 53","","Dissolved","25572"
"Mcgill, Shadrack","Republican","State Senator","Senate District 8","","Dissolved","25317"
"Mcglaughn, Phillip","Republican","Sheriff","Calhoun County","","Dissolved","25489"
"Mckay, Robert","Republican","State Representative","House District 30","","Dissolved","25511"
"Mitchell, Donald","Republican","Revenue Commissioner","Marshall County","","Dissolved","25503"
"Moore, Mary","Democrat","State Representative","House District 59","","Dissolved","25465"
"Needham, Rick","Republican","Sheriff","Shelby County","","Dissolved","25746"
"Peterson, Rodger","Republican","State Auditor","","","Dissolved","25624"
"Rainey, Donald","Republican","Sheriff","Cullman County","","Dissolved","25221"
"Roberts, Tanya","Republican","Revenue Commissioner","Dale County","","Dissolved","25534"
"Robinson, James","Republican","County Commissioner","Winston County","","Dissolved","25537"
"Rowell, Wilson","Republican","County Coroner","Covington County","","Dissolved","25529"
"Schrubbe, Miranda","Republican","County Board Of Education","Baldwin County","","Dissolved","25681"
"Sellers, Heather","Republican","State Representative","House District 74","","Dissolved","25273"
"Shannon, James","Republican","County Commissioner","Limestone County","1         ","Dissolved","25757"
"Smith, Jane","Republican","Circuit Clerk","Madison County","","Dissolved","25532"
"Swiger, Monica","Republican","County Board Of Education","Baldwin County","","Dissolved","25549"
"Wilson, James","Republican","State Representative","House District 85","","Dissolved","25327"
"Wren, Gregory","Republican","State Representative","House District 75","","Dissolved","24921"
"Young, John","Republican","State Representative","House District 27","","Dissolved","25424"
