name,expenditures,contributions,count
ROBERT BENTLEY,2197745,3214418,1687
JOSEPH LISTER HUBBARD JR.,353750,1209348,106
LUTHER J. STRANGE III,954421,1093742,889
MICHAEL G. HUBBARD,985085,887603,322
"CHRIS ""CHIP"" BEEKER JR.",606950,585259,216
DEL MARSH,641893,574261,186
CLYDE CHAMBLISS JR.,494663,533951,492
TOM WHATLEY,599957,492515,235
GERALD DIAL,467908,485261,159
JEREMY H. ODEN,462577,482990,146
JIMMY W. HOLLEY,341233,459236,272
MARVIN MCDANIEL BUTTRAM,289135,453107,202
SHAY WESLEY SHELNUTT,339179,452426,172
KAY E. IVEY,635166,424847,751
STANLEY KYLE COOKE,434757,424400,88
JACK WILLIAMS,415820,416890,227
PARKER GRIFFITH,377495,404366,122
PAUL HARRIS GARNER,378710,403068,207
TIMOTHY IVAN MELSON,313574,400186,184
REESE HOWELL MCKINNEY JR.,383041,362072,661
STEVE FLOWERS,295433,346162,15
WILLIAM TAYLOR STEWART,195931,337671,63
STEVE LIVINGSTON,264762,332308,139
FELIX BARRY MOORE,300855,311786,97
ROGER H BEDFORD JR.,227415,289471,154
FRED S TOOMER II,282988,283731,36
BRETT ASHLEY KING,182338,280913,229
PAUL BUSSMAN,198674,279728,124
GERALD ALLEN,234022,277789,119
MACK NEWMAN BUTLER,209080,270732,121
JIM H MCCLENDON,377247,257789,120
JOHN H MERRILL,436351,245475,551
TODD GREESON,176807,225724,41
JERRY L FIELDING,258449,224636,91
HARRI ANNE SMITH,235814,208746,47
WILLIAM L HOLTZCLAW,184862,208289,104
WILLIAM GARRETH MOORE,344524,200830,13
ARNOLD G MOONEY II,198371,199868,229
PAUL SANFORD,130780,198342,171
STEVEN DUANE GUEDE,63344,191799,68
AUBREY KURT WALLACE,129663,190960,87
CHRIS SELLS,123848,190052,120
WILLIAM E HENRY,168765,187797,142
WILLIAM ALFRED ROBERTS,116614,187522,90
GREGORY LAMAR ALBRITTON,128422,184252,91
JAMES T WAGGONER JR.,25287,180319,80
PHILLIP WAYNE WILLIAMS JR.,116842,179909,86
WAYNE JOHNSON,120241,179848,74
STEPHEN PAUL FRENCH,179417,179565,146
HENRY SANDERS,105028,176115,73
LARRY MEANS,113384,175913,176
CHRIS PRINGLE,146850,174496,333
VICTOR PHILLIPS POOLE JR.,70250,173825,13
BARRY RAMON SADLER SR.,97496,169186,43
CYNTHIA MCCARTY,185743,168654,135
LESLEY VANCE,142957,166252,90
CHARLES O. NEWTON,102346,164773,86
RICHARD GLO BAUGHN,128678,164483,72
DAVID LAWRENCE FAULKNER JR.,130568,164381,364
COREY P HARBISON,56464,164196,64
MARY SCOTT HUNTER,182365,164105,177
ARTHUR ORR,15906,159308,101
MELINDA MCCLENDON,64965,153274,70
SAMUEL A HARPER,98080,152200,95
JAMES C FIELDS JR.,93438,145384,251
JOHN ANDERSON CARTER SR.,7631,144655,84
THAD MCCLAMMY,75600,142770,97
DAN WILLIAMS,93482,140526,83
NATHANIEL DAVID LEDBETTER,99406,138564,85
STEVE DEAN,123672,135472,31
RANDY PRICE,119319,134486,189
GREG J REED,49393,130354,107
WALTER DON HEMBREE JR.,121712,128602,65
RODERICK HAMPTON SCOTT,111399,127562,99
MICHAEL MILLICAN,40203,125254,97
LARRY COLLINS STUTTS,97117,125145,119
AMIE BETH SHAVER,91522,122290,81
DOUGLAS CURTIS CLARK,110751,121983,144
KERRY RICH,121318,120586,170
TIM WADSWORTH,52220,118942,79
JOHN MCMILLAN,52758,117419,158
BILL HIGHTOWER,27425,116467,123
KYLE SOUTH,71959,115246,123
JOHN W WILLIAMS SR.,84104,115117,135
WILLIAM J AINSWORTH,93899,113952,120
JON CRAIG FORD,33854,113948,79
TIM SPRAYBERRY,26797,110754,22
JOSHUA PIPKIN,130355,110387,185
JAMES M MARTIN,102129,110061,31
DONALD MICHAEL RAINEY,125200,108840,108
BOBBY D SINGLETON,76412,108769,42
PERRYN CARROLL,103474,108276,266
JAY A. YORK,118037,108142,301
PATRICK JAMES BALLARD,100810,107979,218
STEPHEN (STEVE) WILCOX HURST,97162,107323,70
GAYLE HAYWOOD GEAR,16428,103708,17
MATTHEW DAVID FRIDY,98478,103552,99
GEORGE C BARRY,99968,103511,12
JOHN WESLEY ROGERS JR.,90994,103300,51
"WILLIAM M ""BILLY"" BEASLEY",17811,103250,45
DAVID WILLIAM WHEELER,102883,102652,117
JAMES DARRELL TURNER,80601,102628,704
JOHN DANIEL GARRETT,120251,101033,79
CONNIE COONER ROWE,39459,100614,181
CAM WARD,60175,99750,84
RODGER MELL SMITHERMAN,53504,96050,62
HARRY SHIVER,32856,95900,62
PATRICIA ANN TODD,75654,92100,219
WILLIAM ISAAC WHORTON,32973,91097,28
RITCHIE AARON WHORTON,67175,86501,105
KEVIN MATTHEW GENTRY,92217,86096,195
MAX MICHAEL III,85799,85810,200
SAMUEL MARTIN COCHRAN,54325,84311,284
ARTIS J MCCAMPBELL,79205,83892,89
HARRY MCLEOD D'OLIVE JR.,77472,83750,93
JUANDALYNN D GIVAN,77968,83700,73
QUINTON T ROSS JR.,44121,83250,36
JONATHAN BERRYHILL,82975,83039,91
TERRY DUNN,37672,80053,15
DANIEL A. CROWSON,75103,79455,195
CHRIS SEIBERT,94488,75617,80
MAC MCCUTCHEON,17676,75450,67
CLAY DANIEL SCOFIELD,19483,73800,58
JAMES EDWARD BUSKEY,40396,73528,85
MIKE CURTIS,38522,73348,35
RICH ALLEN WINGO,52266,73000,51
MARK SLADE BLACKWELL,223904,72966,82
JOHNNY MACK MORROW,24137,72650,78
JAMES S ROBERTS JR.,21257,72191,58
STEVE CLOUSE,69321,69680,171
JAMES HORACE CLEMMONS JR.,36003,69571,52
MELVIN HASTING,27888,68695,21
ROBERT MCKAY,20725,66726,69
ROBERT REED INGRAM,33038,66350,195
BARBARA DRUMMOND,50764,62477,146
WILLIAM POOLE III,24047,62385,63
MARY KATHY PETERSON,23884,61475,8
ALAN C BOOTHE,34317,60750,40
DAVID BEDDINGFIELD,31692,59928,90
JIM ZEIGLER,48325,59553,65
RALPH ANTHONY HOWARD,36607,59358,19
KEN CLEO JOHNSON SR.,8004,58312,44
THOMAS BRYANT WHALEY,35067,57855,64
LINDA COLEMAN,15525,56250,35
MIKE HILL,51184,55250,46
TERRI COLLINS,14982,55162,101
ANDREW E BETTERTON,13733,54301,33
OLIVER LEON ROBINSON JR.,65122,54100,51
ROBERT HERMAN FINCHER,26747,53696,123
REX CHEATHAM,9124,53395,62
"ELIZABETH ""BETH"" KELLUM",10433,53100,4
MERIKA COLEMAN,26409,53085,60
KENNETH MIKEAL PARSONS,45132,52544,94
RON ABERNATHY,61434,52470,125
WYNDALL A. IVEY,16047,52344,143
RONALD G JOHNSON,19969,51670,58
PATRICK DAVID PINKSTON,52834,51513,121
LAWRENCE MCADORY,13738,50874,23
DARIUS FOSTER,35614,46671,145
NAPOLEON BRACY JR.,72416,46450,52
PEGGY P MILLER LACHER,46593,46310,162
VIVIAN DAVIS FIGURES,40235,46184,37
TRIP PITTMAN,19116,45445,54
ADAM THOMPSON,50222,45148,132
"BENJAMIN ""RUSTY"" N GLOVER III",15831,44928,28
MARK MCDONNELL TUGGLE,26255,44813,68
SHARON MAXWELL,30106,44461,102
JOHN AMARI,52098,43913,133
SHANTA CRAIG OWENS,12672,43580,171
CHARLIE L STATEN SR.,28019,43000,11
MIKE HOLMES,26722,42772,60
HOBBIE LEONARD SEALY,35488,42526,34
DAVID STANDRIDGE,32497,42525,21
PATRICIA MCGRIFF,40694,42465,55
CHRISTOPHER JOHN ENGLAND,8964,42198,24
BECKY NORDGREN,21136,42059,35
GINGER FLETCHER,26354,42034,29
FRANK WILLIAMSON,38964,41080,71
MATTHEW ALLEN MASSEY,29113,40748,59
MICHELLE M THOMASON,25473,39889,153
GEORGE TOOTIE BANDY,19314,39470,19
MICHAEL L JONES JR.,22411,39440,81
JIM MURPHREE,34874,38526,45
JACKIE MARK YARBROUGH,43925,37715,21
MICKY RAY HAMMON,1309,37300,31
MARTIN E WEINBERG,30414,37217,143
BAYLESS LYNN GREER,5690,36850,33
JOSEPH WHITCOMB SEDINGER,32047,35864,134
JOSEPH BRYAN D'ANGELO,28733,35758,38
RODGER DALE PETERSON,20449,35074,6
JOHN J LETSON,3106,33633,2
ANGELO DOC2565 MANCUSO,28467,33616,9
JAMES M. PATTERSON JR.,33830,32888,69
"GEORGE ""CHUCK"" LEONARD PATTERSON JR.",29582,32870,29
JIM BARTON,46012,32750,12
BOBBY WAYNE JACKSON,18701,32284,20
RANDAL FORREST CAVNAR,30399,32198,64
JENNIFER SIGNE MARSDEN,15845,32151,38
RANDY VEST,28928,32024,101
BRENDA S. STEDHAM,29102,31729,75
JOHN ROBINSON,20567,31700,16
BERRY FORTE,9459,31500,18
JUSTIN BARKLEY,23680,31240,75
DONNIE CHESTEEN,18350,30950,37
JODY TRAUTWEIN,26956,30913,110
DAVID MONTGOMERY BLAIR,27727,30732,91
SUSAN ELAINE SMITH,23166,30422,49
CARL D SHERROD,15231,30266,79
C. TERRY JONES,50889,29486,15
DIMITRI POLIZOS,17248,29292,32
CYNTHIA A. BELL,27004,29291,155
BRUCE WHITLOCK,23363,29194,7
DICK L. BREWBAKER,46428,28750,20
BRIAN KEITH FOLEY,9248,28635,9
GARRY ROBERT MARCHMAN,24090,28007,88
JONATHAN O BARBEE,16671,27994,79
PRISCILLA P DUNN,35679,27150,19
RANDALL (RANDY) M DAVIS,8394,26750,35
RICHARD KEITH COATES,22852,26179,77
DYLAN VAN OLIVER,6505,26116,2
DANNY BROCK JOYNER,12462,26001,19
WILLIAM JOSHUA BURNS,10609,25900,5
JIM CARNS,16207,25750,27
"MARY ""BETTY"" E PETERS",16083,25569,47
PEBBLIN WALKER WARREN,7577,25500,15
ALBERT DAVID JOHNSON,21408,25299,41
JAMES HOWARD SANDERFORD,15581,24725,34
RICK NEEDHAM,31621,24662,77
PAUL WESLEY LEE,12180,24534,34
MARY ANN MOORE,47415,24136,29
ARTHUR SHORES LEE,24070,23595,44
MARCEL BLACK,20238,23300,28
LOUISE UNITA ALEXANDER,610,23000,5
ANTHONY DANIELS JR.,20541,22527,177
JOHN WILLIAM COLE,3895,22511,28
WILLIAM DEXTER GRIMSLEY,16763,22215,20
MIKE BALL,13885,21950,37
HEATHER SELLERS,45113,21831,97
DONALD ROYCE MITCHELL,21765,21769,56
BRYAN EARL MORGAN,15173,21726,27
HUGH M DUDLEY JR.,12582,21667,4
MEREDITH PETERS,18409,21472,65
VICTOR GASTON,10738,21450,21
WALTON WARD HICKMAN,3684,21393,14
YOUNG J BOOZER III,8394,21122,18
CHARLES H. BOOHAKER,14542,20929,35
JIM HILL,2331,20849,33
THOMAS O. MOORE,20623,20621,55
RICHARD J. LINDSEY,7791,20550,19
DANIEL H BOMAN,20154,20500,5
